Added At,Added By,Explicit,Genres,Popularity,Record Label,Release Date,acousticness,album,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,uri,valence
2026-01-02T09:03:57Z,astrid.verschraege,False,"slowcore,singer-songwriter",37,Matador,2006-01-23,0.988,The Greatest,Cat Power,0.251,173333,0.097,0.00817,0,0.0701,-15.176,1,Where Is My Love,0.0323,52.39,3,spotify:track:6pCT7vFs7rtNdbloPnRPyK,0.18
2026-01-02T09:03:57Z,astrid.verschraege,False,,30,Play It Again Sam,2009-04-12,0.986,Lovetune for Vacuum,Soap&Skin,0.665,147146,0.186,0.78,11,0.191,-13.293,1,Mr. Gaunt PT 1000,0.0343,105.319,4,spotify:track:70suKmT0f6aEAUm1oKkCX7,0.205
2026-01-02T09:05:40Z,astrid.verschraege,False,,45,Nettwerk Music Group,2018-05-04,0.984,Time,Joe Alexander Shepherd,0.256,276942,0.0219,0.92,6,0.0935,-25.544,1,Time,0.0442,66.663,3,spotify:track:2AKi4o2EnhQlXJ7T8FkNT0,0.0524
2026-01-02T09:03:57Z,astrid.verschraege,False,folk,37,Spinney Records,1970,0.981,Just Another Diamond Day,Vashti Bunyan,0.629,108080,0.116,0.00181,1,0.111,-17.237,1,Winter Is Blue,0.0361,104.806,3,spotify:track:679Uui1Da9d2SQ9r1TuVWq,0.474
2026-01-02T09:02:07Z,astrid.verschraege,False,,22,BGS Records,2005,0.98,¡danza! The Music of Dance,Tom Kerstens,0.288,190506,0.108,0.894,9,0.0806,-24.582,0,Danza del altiplano,0.0559,77.075,4,spotify:track:0Wbwtdm59r22Zj0hDI9VYk,0.105
2026-01-02T09:03:57Z,astrid.verschraege,False,minimalism,0,EMI Marketing,2001-01-01,0.98,A Brief History,Penguin Cafe Orchestra,0.144,240120,0.117,0.035,7,0.0822,-16.02,1,Lullaby - 2001 Digital Remaster,0.0461,79.122,4,spotify:track:1ADcrE8xhwlGmp8QPNqHBR,0.0396
2026-01-02T09:03:57Z,astrid.verschraege,False,art pop,0,Editions Milan Music,2014-01-01,0.979,Son of a Gun (Original Motion Picture Soundtrack),Sol Seppy,0.35,375786,0.0775,0.00103,10,0.061,-14.485,1,Enter One,0.0374,96.54,4,spotify:track:26pC4BgyjdRIeieIcGqLcw,0.077
2026-01-02T09:05:40Z,astrid.verschraege,False,"new age,celtic",51,WM UK,1987,0.978,The Celts,Enya,0.403,212333,0.0578,0.000594,7,0.106,-21.891,1,Boadicea - 2009 Remaster,0.0374,101.547,4,spotify:track:2AUcU2mCQlEFZpvkfvIM8q,0.136
2026-01-02T09:02:07Z,astrid.verschraege,False,,76,Gibran Alcocer / Kurate Music,2022-07-09,0.978,Idea 10,Gibran Alcocer,0.339,128000,0.242,0.871,7,0.104,-20.446,0,Idea 10,0.0383,87.053,3,spotify:track:1lb3H41lbvAN28N7yqRNL9,0.711
2026-01-02T09:02:07Z,astrid.verschraege,False,"ambient,minimalism,drone",0,Empire of Signs,2017-11-03,0.977,Music for Nine Post Cards,Hiroshi Yoshimura,0.361,282013,0.055,0.92,0,0.0753,-19.128,1,Blink,0.0579,68.554,5,spotify:track:7d26IhLPUlL4oncFgsms22,0.336
2026-01-02T09:04:19Z,astrid.verschraege,False,,14,"Jumpsuit Records, Inc.",2016-07-01,0.967,Hollow Bone,Ayla Nereo,0.22,149966,0.229,0.538,9,0.126,-16.502,1,Eastern Sun,0.0337,75.395,4,spotify:track:7ipiXzS2bntcbSorEK22nh,0.218
2026-01-02T09:03:57Z,astrid.verschraege,False,,21,[PIAS] Recordings Belgium,2025-02-21,0.966,Enjoy The Silence,Naima Joris;Vitja Pauwels,0.158,284613,0.028,0.398,9,0.113,-17.884,0,Where Flamingos Fly,0.0407,76.284,4,spotify:track:0BVxORdMG531VaxJJfEfbA,0.0375
